Date,Title,myFinbert
2009-08-04,mungantiwar ultimatum state adani mine,2
2009-08-07,moef official study adani plant impact nagzira,2
2009-08-12,state govt turn adani proposal,2
2009-08-13,report damn adani coal project,2
2009-08-20,adani power listed bse,2
2009-08-20,adani listing set pace,2
2009-08-21,adani power list 5 premium loses steam,0
2009-08-29,r 264 adani offer cheapest power state,2
2009-10-01,plea early hc want status adani mine,2
2009-12-01,novel adani school inaugurated,2
2009-12-01,novel adani school inaugurated,2
2009-12-04,panel ‘ ’ adani mine near tadoba,2
2009-12-04,panel ‘ ’ adani mine near tadoba,2
2009-12-04,victory people,2
2009-12-06,centre allot coal block stalled adani project,2
2010-02-02,adani power plant tiroda face hurdle praful,2
2010-02-10,adani refuse honour power deal,2
2010-02-27,adani get bail gujarat high court,2
2010-02-27,adani enterprise md arrested custom duty evasion,2
2010-02-28,gautam adani,2
2010-02-28,adani md arrested tax evasion get bail,2
2010-03-03,hc pull cbi delaying adani release,2
2010-03-17,adani right issue r 475share soon,2
2010-03-23,adani relieved man,2
2010-04-20,ipl bid mystery missing paper,2
2010-04-21,ipl bid paper share detail adani group,2
2010-04-22,adani say missing file denies free equity offer,2
2010-06-01,ravi sharma ceo adani power,2
2010-06-02,adani upbeat finishing pipeline schedule,1
2010-06-05,missing paper raise stink,0
2010-06-14,need unified command gujarat,2
2010-06-21,ntca state official visit tiroda,2
2010-06-28,rajpath poll draw mover shaker,1
2010-07-22,adanis qip r 4k cr fully subscribed,2
2010-08-01,autorickshaw driver protest another cng price hike,2
2010-08-01,pvt co provide 40 power 2012,2
2010-08-03,adani buy coal asset oz,2
2010-08-03,adani buy linc energy coal mine r 12600cr,1
2010-08-04,adani buy coal mine oz 12221 crore,2
2010-08-10,oz adanis eye coal mine south africa,2
2010-08-13,high court okay merger adani group company,2
2010-08-13,declare nagzira tiger reserve urge conservationist,2
2010-08-21,hearing interim bail mining firm adjourned,2
2010-08-25,ahmedabad adani,2
2010-08-26,adanis ink mining pact indonesia,2
2010-09-01,hc stay construction 1000 ha mpsez,2
2010-09-01,afforestation bsf land near border hc issue notice,2
2010-09-04,ggcl increase cng price 8,1
2010-09-21,adani invest r 14000 crore,2
2010-09-23,saina brand ambassador edible oil product,2
2010-10-05,hyd sisterly tieup oz,2
2010-10-05,adani 2bn bid port,2
2010-10-14,adani may tie cil,1
2010-10-17,planner sea designing city development story,2
2010-10-19,want foreign coal adani asks coal india,2
2010-10-29,ca pressure accept private investor,2
2010-10-29,indian money fuel aussie version ipl report,2
2010-11-25,authority raid oil co godown defective stock worth r 23l found,2
2010-11-30,adani fined encroaching revenue land,2
2010-12-01,3i launch 3bn india infra fund,2
2010-12-03,ruckus adani plant labourer fall boiler,0
2010-12-11,two labourer die accident adani plant,2
2010-12-20,coal importer bhatia adani get boot,2
2010-12-23,ajit pawars visit adani spark political storm,2
2011-01-04,political donor dont discriminate study,2
2011-01-12,adani group announces r 80k cr investment gujarat,2
2011-02-11,adani get new wing buy chopper fly airport,2
2011-02-23,colour childrens hospital get iso certified,2
2011-03-04,destination cambay exbabu sanjay gupta,2
2011-04-12,mlas seek action power firm,2
2011-04-13,govt promise action encroachment adani forest land,2
2011-05-02,yet another accidental death adani plant,2
2011-05-03,adani acquires australian port 2 billion,2
2011-05-04,adani buy oz port 9k cr,1
2011-05-27,adanis propose invest r 7k crore bihar,2
2011-05-28,adani want set thermal power plant bihar,2
2011-06-03,labourer dy mysteriously,2
2011-06-07,adani india ’ largest pvt thermal power producer,2
2011-06-09,gondia village go dry,2
2011-06-09,deer found dead near adani thermal plant,2
2011-06-10,mci give nod college sola bhuj,2
2011-06-11,adani may consider building port mah,2
2011-06-17,labourer dy freak mishap,1
2011-06-23,land acquisition mpsez legal high court,2
2011-06-27,canadian co eye stake adani power,2
2011-07-04,woman mistaken man made pay tax,2
2011-07-08,cost jnpts 4th terminal rise 20,1
2011-07-09,hc stay transfer bhuj hospital adani,2
2011-07-11,ntca study adani impact nagzira wildlife sanctuary,2
2011-07-17,oppn adani power plant chhindwara grows,2
2011-07-27,adanis reserve seat kutch bhuj medical college,2
2011-07-27,adanis reserve seat kutch bhuj medical college,2
2011-07-30,jindal adani co tank karnataka mining scam,2
2011-08-01,storm brewing adani power project chhindwara,2
2011-08-02,sensex rally u averts default,1
2011-08-03,20 co bid orissa umpp,2
2011-08-04,adani power net jump 54 r 177 crore,1
2011-08-09,gspcadani group jv set lng terminal mundra,1
2011-08-30,gcci sign mou ced promote young entrepreneur,1
2011-09-03,govt okay bhavnagar dahej alternate port site dholera khambhat,2
2011-09-09,price hike put strain household budget,0
2011-10-13,msedcl let adani get away failing supply 475mw,2
2011-10-27,desi company set feature among world top 10 coal miner,2
2011-10-28,indian firm jolted china social security plan,2
2011-11-09,price issue trigger bg exit gujarat gas,2
2011-11-11,tension adani labourer digging road village,2
2011-11-12,pace infra growth still fast enough adani,1
2011-11-12,mla bopche flays adani management,2
2011-11-13,worker dy mishap adani power plant,2
2011-11-15,adani dispute villager move court police highhandedness,2
2011-11-23,farmer adani plant vicinity want police protection,2
2011-11-26,gulita bid opened middec,1
2011-11-26,anil ambani others bid hul property,2
2011-11-28,corporates vie bldrs grab realty pie,1
2011-12-02,iitgandhinagar want young blood hunt professor,2
2011-12-02,iitgandhinagar want young blood hunt professor,2
2011-12-20,kalpasar break ground 2013,1
2011-12-23,branded edible oil price due falling rupee,0
2011-12-24,branded edible oil price rise falling,0
2011-12-24,industrial user feel heat gas price rise,1
2012-01-03,adani kpt join hand satellite port tuna,2
2012-01-06,country ’ largest solar power plant go online,2
2012-01-08,adani group sport newlook soon,2
2012-01-10,illegal barrage made adani collapse dec rain,2
2012-01-15,tata ambani agarwal ruia adani among 17 show strength power woe,2
2012-01-17,gspc continue egypt exploration,1
2012-01-19,hc endorses justice r mehta lokayukta,1
2012-01-19,pm seek 30 day tackle power crisis,2
2012-01-20,adani group soaring scrip leave bourse gasping,1
2012-01-23,angul villager boycott election,2
2012-02-08,labourer killed adani plant,2
2012-02-10,adanis exit realty put mumbai site block,2
2012-02-13,two youth arrested cheating,2
2012-02-22,adani seal r 900cr land deal mumbai,2
2012-02-24,adani family buy group ’ realty business,2
2012-02-25,diversion ongc gas power say panel,2
2012-03-01,cong alleges govtbiz link spark furore,1
2012-03-03,unrelenting gohil suspended,2
2012-03-04,narendra modi busy distributing land tata adani ruia sanjay nirupam,2
2012-03-04,availability water drawing plant gondia bhandara,2
2012-03-05,adani pact provide 4 mt coal ntpc,2
2012-03-08,congress gherao assembly,2
2012-03-10,congress denied rally permission,2
2012-03-11,adani mine make comeback lohara,2
2012-03-12,state say cbi probe b yeddyurappa,2
2012-03-13,mundra world ’ largest coalfired pvt power plant,2
2012-03-13,adani forcing farmer vacate land,2
2012-03-13,danda cong dandi march day,2
2012-03-13,adani district administration accused evicting farmer land,2
2012-03-17,budget give power project boost,2
2012-03-18,adanis given gas throwaway purchase price,2
2012-03-22,infrastructure industry world opportunity,2
2012-03-28,farmer proposed hunger stir fizzle,2
2012-04-01,adani ups compressed natural gas rate gspc gas price hike likely,1
2012-04-02,congress question bjps deafening silence gujarat cag report,2
2012-04-06,cm favour adani ignores farmer woe gohil,2
2012-04-08,tough week ahead former chief minister b yeddyurappa,2
2012-04-14,severe power crisis likely cripple bihar summer,0
2012-04-14,adani thermal power plant start production may,2
2012-04-17,adani wont hurdle region irrigation patel,2
2012-04-21,jindal steel adani come cbi scanner,2
2012-04-29,let cbi probe karnataka mining scam sc panel,2
2012-05-02,chief minister narendra modi attends gautam adani ’ son karans grand engagement ceremony,2
2012-05-06,gondia district administration pull adani,2
2012-05-08,one dead 7 feared drowned tank adani thermal power project,2
2012-05-10,high court stay development work adani port special economic zone,2
2012-05-11,another stay work adani special economic zone,2
2012-05-16,cng price go r 280 per kg,1
2012-05-24,illegal mining tiroda tehsil,2
2012-05-26,adani denies compensation injured welder,2
2012-06-02,gammon india labourer boycott work adani thermal plant,2
2012-06-16,gujarat gas company limited revise cng price r 5195 per kg,2
2012-06-17,notice adani port special economic zone alleged falsity,2
2012-06-21,b shah commission conduct third hearing,2
2012-06-22,public union civil liberty object setting commission probe graft charge,0
2012-06-22,adani group big oneman show,2
2012-06-23,farmer demand water adani barrage,2
2012-06-28,local extortionist threatened mla influenced mumbai underworld,2
2012-06-30,kutch mla make representation justice b shah commission,2
2012-06-30,justice mb shah receives another complaint alleged land scam,2
2012-07-03,coal india production western coalfield ltds output,2
2012-07-05,congress poster modelled gang wasseypur target narendra modi,2
2012-07-06,gang wasseypur poster political rally,2
2012-07-13,gujarat government force party race gas firm,2
2012-07-13,adani torrent stopped bidding bg stake gujarat gas,2
2012-07-14,bg spoil modis big picture,1
2012-07-16,explorer turn gas dalal,2
2012-07-17,adani power ltd revives coal mine plan near tadoba,2
2012-07-18,adani enterprise adani stock plunge arrest rumour,0
2012-07-19,wrangling shake gcci poll runup,1
2012-07-28,gujarat gas company ltd stake sale gujarat state petroleum corporation woos oil fuel bg deal,2
2012-08-03,top gujarat businessmen take pay cut,2
2012-08-04,cbi probe sought allotment sea area afforestation,2
2012-08-17,undue benefit r 38 lakh crore private party upa government cag,2
2012-08-23,adanis sez government scanner,2
2012-08-24,supreme court shocked ‘ daredevilry ’ firm exporting seized iron ore,2
2012-08-25,adani gas question ahmedabad municipal corporation tax pipeline,2
2012-08-27,city school giving sport big push,2
2012-08-27,home ministry bar adani port lanco punj lloyd participating port project security ground,2
2012-08-28,private power tariff raised attorney general,2
2012-09-01,adani promise job youth withdraw stir,2
2012-09-05,india inc bind billiondollar buy,2
2012-09-06,ministry environment forest give goahead adanis expansion plan,2
2012-09-06,navegaonnagzira tiger reserve delayed adani,2
2012-09-09,r 71 thousand crore wiped adani market capital year,2
2012-09-10,adani power stock close 3,1
2012-09-17,msmc mining corpn profiteering agency,2
2012-09-19,panel rejection adanis lohara mining proposal,2
2012-09-21,adani group global port firm pe race bid majority stake dhamra port,2
2012-09-25,sensex back positive terrain end 21 point higher,1
2012-10-04,modi govt done nothing wrong say panel set,2
2012-10-10,chanakyapuri plot go r 10l per sq yard,2
2012-10-12,bypassing nbwl adani seek hc nod felling tree,2
2012-10-13,wont fell tree without clearance adani power tell hc,2
2012-10-16,govt cancel adanis 1840 hectare sez,2
2012-10-23,glam glitter privately organised garba night navratri,2
2012-10-23,big company thwart coal india ltd arm pricing move,2
2012-10-24,adani shantigram present time india shanku ’ dandiya 2012 ’ ahmedabad,2
2012-10-25,shanku ’ dandiya hit show sponsored adani shantigram vodafone reliance trend ahmedabad,2
2012-10-27,cpm offer new alternative corrupt bjp congress,2
2012-10-28,heritage walk showcase 33 jain site walled city,2
2012-10-31,kavidas appointed tamil sangam president,2
2012-11-03,civil society condemns state action civil activist mp jharkhand,2
2012-11-07,activist demand immediate release medha patkar others arrested chhindwada,2
2012-11-20,adani essar bid chennai r 4000 crore mega container terminal project,2
2012-11-28,adani shapoorji offer site ioc refinery,2
2012-12-05,kejriwal accuses narendra modi showering largesse private firm,2
2012-12-08,denmark ’ ap mollermaersk group lead race buy dhamra port stake,1
2012-12-09,saloni shah organises photography exhibition ahmedabad,2
2012-12-09,saloni shah organises photography exhibition ahmedabad,2
2012-12-20,nan,2
2012-12-24,lanco infratech put udupi plant block company talk jsw energy adani power,2
2012-12-26,adani power company made pay r 245 crore penalty,0
2013-01-05,directorate revenue seizes r 70cr private jet,2
2013-01-11,bihar face acute power crisis amid chilly winter,0
2013-01-14,let power crisis,2
2013-01-25,chinese engineer repair haryana power plant,2
2013-01-26,cm put mumbai biz meet hold,2
2013-01-26,pawar vists gadkari flays congress policy,2
2013-01-28,sharad pawar slam green bat adani,2
2013-01-29,adani port use abbot point stake sale fund expansion plan,2
2013-01-30,power company like adani tata power others lose top talent slowdown take toll,0
2013-02-05,two held mail sullying adani group,2
2013-02-06,arvind kejriwals detail faked adani mail,2
2013-02-15,adani sez sc lift stay operation 12 company,2
2013-02-18,karan adani tied knot paridhi,2
2013-02-20,bitter patel threatens play spoilsport,2
2013-03-04,modi snub sena leader prabhu cancel wharton visit businessman gautam adani pull,2
2013-03-04,snub narendra modi wharton invite arvind kejriwal,2
2013-03-05,wharton snub modi address indian diaspora usa,2
2013-03-05,rebuff modi shiv senas suresh prabhu cancel wharton talk,2
2013-03-05,narendra modis address wharton nulled via facebook,2
2013-03-05,liberal leftist narendra modi still go area,2
2013-03-06,adani power cheaper mahagencos,2
2013-03-06,adani power cheaper mahagencos,2
2013-03-07,wharton duty hear modi tharoor,2
2013-03-10,jumbo con chhattisgarh fudge forest data coal mining,2
2013-03-13,arvind kejriwal mohandas pai speak wharton,2
2013-03-18,power scene improve summer,2
2013-03-19,​british minister call narendra modi,2
2013-03-22,winwin bulk power buyer,1
2013-03-23,coal block deal cag point potential loss r 154906 cr,0
2013-03-23,hc dismisses pil adani railway line,2
2013-03-24,nixing narendra modi ’ wharton invite wrong kejriwal,2
2013-03-30,sez cancellation adanis set get ok plot,2
2013-04-02,mckinsey bcg bain kaerney like playing game india,2
2013-04-03,deal adani caused loss r 160cr state,2
2013-04-04,shortage coal deepens power crisis,0
2013-04-04,central electricity regulatory commission allows adani hike tariff offset coal price rise,2
2013-04-05,cerc allows adani hike tariff offset coal price rise,2
2013-04-05,bihar buy 300mw defuse power crisis,2
2013-04-05,adani look bigger coal mine region,2
2013-04-06,bhel agrees pay r 95lacre bhandara plant,2
2013-04-08,adani commences integrated coal mdo india,2
2013-04-08,haryana question power tariff hike private player,2
2013-04-08,custom slap r 385crore duty evasion fine adani firm,2
2013-04-09,adani tata essar jsw face r 2500 crore duty evasion charge,2
2013-04-10,adani 650mw extra power ’ sell,2
2013-04-13,high court asks company file affidavit charge leveled villager,2
2013-04-19,adanis mundra project violated norm say green panel,2
2013-04-21,adani project mundra violated environmental norm rule moef committee,2
2013-04-22,adani project mundra violated environmental norm rule moef committee,2
2013-04-26,campaign polio routine immunisation turn new leaf,2
2013-05-01,petronet eye 25 stake terminal gujarat state petroleum corporation,2
2013-05-08,adani help dentistfriend establish r 700 crore hospital,2
2013-05-30,essar beat vedanta bag vpt ohc project,1
2013-05-31,welspun hive infra energy sponge iron business,2
2013-06-05,mundra port host biggest vessel berth country,2
2013-06-05,firepower fangchenggang,2
2013-06-07,detergent king acquires r 40cr chopper,2
2013-06-08,goa state coastal zone management authority nod set mechanized coal handling unit mormugao port trust,2
2013-06-21,hc notice state govt centre adani group,2
2013-07-12,’ raining pay rise gujarat corporate czar,2
2013-07-12,downpour brings ahmedabad halt,2
2013-07-12,realtor eye nris indian housing project,2
2013-07-14,ngt admits plea adani thermal power project,2
2013-07-22,govt give blessing two wedding venue district,2
2013-08-01,bihar selling power state sushil kumar modi,2
2013-08-04,ahmedabads job fair caters 60yearold youth,2
2013-08-14,mine minister say stemcor violated rule buy mining right company rubbish charge,2
2013-08-18,bullseye aiim convocation,2
2013-08-19,india top ten business group debt rise 15 r 64 trillion,1
2013-08-26,consumer must get assured power maharashtra electricity regulatory commission,2
2013-08-28,rupee hurt telecom infrastructure energy company,0
2013-09-10,adanis rehab package eye wash,2
2013-09-25,pranav adani elected ahmedabad management association president,2
2013-10-01,return equity top business house like tatas adani jindal slump threeyear low,0
2013-10-18,adani port united liner among five bidder liquid terminal jawaharlal nehru port trust,2
2013-10-22,india much important market bp bp plc ceo bob dudley,2
2013-10-23,cop may call exec adani group nsel case,2
2013-10-30,sport star campaign routine immunization polio vaccine,2
2013-11-02,economic offence wing scan adani nk protein ’ book,2
2013-11-20,adani 17 others race operate privatized ahmedabad airport,2
2013-12-05,electricity tariff hike proposal generates heat divide cabinet,2
2013-12-05,govt panel set hiking adani power rate,2
2014-01-02,dri ed set probe adani group allegedly overvaluing power equipment import,0
2014-01-08,increase natural gas quota gujarat hc,2
2014-01-09,central govt clear tender cochin port new coal terminal,2
2014-01-13,hc asks adani sez get environment nod freeze construction,2
2014-01-17,gujarat future bright many challenge lie ahead,2
2014-01-23,supreme court hear plea adani sez closure today,2
2014-01-25,adanis say lost lohara mine moc say,2
2014-01-26,gidc partner adani mundra plastic park venture,2
2014-01-28,conditional nod adani sez unit start ops,2
2014-02-03,adanis close buying dhamra port,1
2014-02-03,aap start pol khol andolan bjp cong,1
2014-02-12,aap fire salvo modi question adani link,2
2014-02-22,lack cultivation reason enough convert paddy land,2
2014-02-23,cerc allows compensation tata power adani power,2
2014-02-23,breather tata adani power dearer 5 state,2
2014-02-24,neco abhijeet group mine get breather,2
2014-02-25,tata power gain cerc order ntpc shock,1
2014-02-27,adani port set r 1270 crore container terminal ennore,2
2014-03-06,arvind kejriwal narendra modi vikaspurush adanis ambanis,2
2014-03-08,modi ‘ property dealer ’ ambani adani tatas arvind kejriwal say,2
2014-03-08,industrialist prospered gujarat kejriwal,2
2014-03-09,modi ‘ property dealer ’ ambani adani tatas kejriwal say,2
2014-03-18,small port could drive big growth adani group,1
2014-03-24,airport privatization grounded 4th time,2
2014-03-31,tata adani power tariff hike order challenged,2
2014-04-03,adani power becomes india largest private power producer 8620 mw capacity,2
2014-04-11,lok sabha election 2014 adani stock surge 23 per cent anticipation possible narendra modi victory,1
2014-04-11,adani scrip see 23 jump,1
2014-04-14,time get dstreet smart doubt crop strength recent rally,1
2014-04-16,4 gujarat cm given land adani,2
2014-04-22,rani aditya marriage fuel twitterati imagination,2
2014-04-27,special favour modi adani,2
2014-04-29,maharashtra gave adanis land say rule followed,2
2014-05-07,even 8 year gencos odisha coal mine yet start,1
2014-05-08,haryana reduce line loses power,2
2014-05-09,adanis 16 billion project australia get green nod,2
2014-05-16,election 2014 stock company bjp link surge 8 month,1
2014-05-16,adani acquires dhamra port enterprise value r 5500 crore,2
2014-05-17,adani buy odisha port r 55k crore deal,2
2014-05-17,adani enterprise q4 net sixfold r 284782 crore,2
2014-06-03,power cut maharashtra likely till tomorrow state electricity distribution body say,2
2014-06-22,adani brother discharged cheating case maharashtra court,2
2014-06-23,adani completes acquisition dhamra port odisha,2
2014-06-23,adani completes acquisition dhamra port odisha,2
2014-06-28,adani asked plant 2 lakh tree,2
2014-06-28,adani asked plant 2 lakh tree,2
2014-07-04,adani port pact french company container terminal,2
2014-07-04,adani wilmar launch soya nugget fortune,1
2014-07-05,adani french group invest r 2100cr mundra expansion,2
2014-07-13,adani group bos gautam adani hail nda govts budget,2
2014-07-16,adani port get environmental clearance mundra sez,2
2014-07-16,logjam bidding norm 2 umpps likely end,1
2014-07-16,apsez get environmental crz nod 8481 hectare mundra sez,2
2014-07-19,adanis got r 234 crore undue tax exemption cag say,2
2014-07-23,adani indiabulls power rate hiked,2
2014-07-25,cbi register preliminary probe adani group,2
2014-07-26,gujarat govt unduly favoured reliance adani cag report,2
2014-07-28,anil ambani pipped adani seal jaypee deal,2
2014-07-29,australia nod adani ’ mining project ahead tony visit,2
2014-07-29,oz give green nod adani ’ 165 billion coal mine project,2
2014-07-30,adani eye indiabulls power plant,2
2014-08-02,cag indicts adani group availing undue tax benefit,2
2014-08-07,adani talk indian oil r 30000 crore mundra refinery joint venture,2
2014-08-07,29 company gujarat among india top 500,2
2014-08-09,adani enterprise report q1 profit tax r 557 crore,2
2014-08-12,adanis get reprieve lender two power project,2
2014-08-12,business baron adani meet kcr naidu,2
2014-08-13,adani buy lanco ’ 1200 mw udupi power plant 1 billion,2
2014-08-14,adani buy lanco plant r 6000 crore deal,2
2014-08-15,adani ease karnataka power woe,2
2014-08-21,‘ state allotted forest land adani power project ’,2
2014-08-23,upa ii cleared adani project maharashtra forest,1
2014-08-26,ambani premji adani part pm business delegation japan,2
2014-08-26,hindujas plan 10 billion spend stalled infrastructure,2
2014-08-27,adani rcom opt nifty midcap,1
2014-08-28,adani buy carmichael royalty right linc aud 155 million,2
2014-08-29,adani stopped power supply haryana govt,2
2014-08-29,adani buy oz mine royalty right,2
2014-08-30,tribunal stay cci order adani gas penalty,2
2014-08-31,adani power shuts power generation unpaid bill,2
2014-09-02,adani group may scrap great barrier reef dumping plan,2
2014-09-02,power minister piyush goyal move break logjam tata adani tariff hike,2
2014-09-02,power minister move break tata adani tariff logjam,2
2014-09-09,due still unpaid adani shuts tiroda plant completely,2
2014-09-17,adani break top 10 rich club wealth jump 152,1
2014-09-19,5 port karnataka developed ppp mode minister port,2
2014-09-22,cil may reduce coal supply plant feed private plant,2
2014-09-25,adani coalmine rail project get nod australian government,2
2014-09-29,premier pundit management bakul dholakia energized iimahmedabad series initiative,2
2014-09-29,bakul dholakia premier pundit management,2
2014-09-30,govt cancel sezs hindalco essar adani,2
2014-10-04,three village get grazing land back apsez,2
2014-10-10,ambanis adani pledge investment r 1 lakh crore mp,2
2014-10-24,centre clear 370acre forest land adani ’ power project maharashtra,2
2014-10-29,bank shun adanis 16 billion australian project,2
2014-10-30,pccf put adani land diversion hold,2
2014-11-01,vpt plan strengthen four berth inner harbour,2
2014-11-03,sc coal verdict cost adani r 6000 crore,2
2014-11-10,tata adani power may wait longer tariff hike,2
2014-11-17,adani group australian mine project cleared,2
2014-11-18,aap question mou adani sbi,2
2014-11-18,adanis australian project get 1 billion sbi loan,2
2014-11-20,sbi defends 1 billion loan adani group congress call ‘ crony capitalism ’,2
2014-11-20,coal auction norm cap tariff tata power adani allowed bid,2
2014-11-20,sbi lend 1 billion adani group congress question ethic,2
2014-11-21,net outgo 200m adani loan sbi,1
2014-11-21,congress question sbi ’ 1 billion loan adani coal mine,2
2014-11-22,cong may tie jmm poll result,2
2014-11-23,chetan slam narendra modi environmental policy,2
2014-11-24,adaniwelspun invest 15 billion u shale canadian oil sand asset,2
2014-11-24,adaniwelspun invest 15 billion u shale canadian oil sand asset,2
2014-11-24,jaitley reject congress criticism sbi loan adani,2
2014-11-25,adani acquire 600mw avantha plant r 4200cr,1
2014-11-25,business model aligned national interest gautam adani,2
2014-11-27,lohara reallocation file pmo congress,2
2014-11-28,tmc question sbi loan adani group,2
2014-12-04,adani group state bank india defend 1 billion funding plan,2
2014-12-07,sbi take final call 1 billion loan adani 3 month,2
2014-12-11,tata power buy plant 3000cr,2
2014-12-17,adani get nbwl nod tiroda land,2
2014-12-19,adani downer 2 billion dollar deal,0
2014-12-20,mormugao mla gun adani official coal pollution,2
2014-12-26,land plenty bhandara gondia await industry,2
2014-12-31,worker killed mishap adani plant,2
2014-12-31,adani terminal mpt get gspcb notice pollution,2
2015-01-02,abhijeet group power plant sale rs4500cr debt,1
2015-01-02,adani power give rs16l kin mishap victim,2
2015-01-02,adani power give rs16l kin mishap victim,2
2015-01-11,adani sunedison invest r 25000 crore gujarat,2
2015-01-12,sunedison adani set solar photovoltaic manufacturing facility gujarat,2
2015-01-18,vasundhara raje visit mundra port,2
2015-01-29,adani power consolidated ebidta rose r 1793 crore q3fy15,1
2015-01-30,adani enterprise soar nearly 10 hit 52week high intraday,1
2015-01-31,adanis demerge port power business,2
2015-02-03,adani scrip fire add 3 billion market cap january,1
2015-02-06,calcutta hc order winding abhijeet group company employee ’ due,2
2015-02-10,adani clinch sweetened 1b udupi power deal,1
2015-02-10,rajasthan govt adani ink mou solar plant,2
2015-02-12,adani eye airport foray via ahmedabad,2
2015-02-13,apl come cpl ’ rescue abhijeet group,2
2015-02-14,coal block auction begin ambanis adanis race,2
2015-02-15,coal auction government get 130 technical bid 21 mine,2
2015-02-18,railway 18 company face probe service tax evasion,0
2015-02-25,state hold talk vizhinjam project bidder,2
2015-03-02,adani likely invest 3 sindri project,1
2015-03-05,coal block auction usha martin adani emerge winner first day round 2,2
2015-03-11,queensland govt clear adani gvk project australia,2
2015-03-13,adani plan r 20k crore clean energy park mundra,2
2015-03-13,sbi chief arundhati bhattacharya scotch report scrapping 1 bn loan pact adani,2
2015-03-15,adani plan 1000mw solar power plant ramanathapuram,2
2015-03-21,abhijeet group pay half due prevent liquidation,2
2015-03-22,msedcl directed allow wardha co sell power,2
2015-03-24,adani jsw vie monnet power,2
2015-03-24,centre allocates 17 mega food park state private firm,2
2015-03-27,cigarette worth crore seized gujarat,2
2015-03-28,owner reject adanis land deal australia,2
2015-03-31,australian green lobby drag adani group court mine project,2
2015-03-31,dri arrest 1 r 24 crore cigarette seizure case,2
2015-04-04,uberrich buying luxury apartment bandrakurla complex,2
2015-04-08,pm ’ giveitup call adani group employee vow shun lpg subsidy,2
2015-04-09,five die cleaning 25deep tank adani ’ oil factory neemuch,2
2015-04-09,three french bank refuse fund adani project australia,2
2015-04-09,india inc rally behind pm ’ appeal give gas subsidy,2
2015-04-14,adani working australia group resolve land issue,2
