Date,Title,FinBERT
8/1/2009,adani power ipo subscribed over 21 times,1
8/1/2009,roll over protest to send back adani project,2
8/3/2009,cong; ncp split over adani mines,1
8/3/2009,"cong, ncp split over adani mines",1
8/4/2009,mungantiwar ultimatum to state on adani mines,1
8/7/2009,moef official to study adani plant's impact on nagzira,1
8/12/2009,'state govt should turn down adani proposal',1
8/12/2009,state govt should turn down adani proposal,1
8/13/2009,reports damn adani coal project,1
8/20/2009,adani power shares make disappointing debut,0
8/20/2009,adani power listed on bse,1
8/20/2009,adani listing to set the pace,2
8/20/2009,adani power listed on bombay stock exchange,1
8/21/2009,adani power lists at 5% premium but loses steam,0
8/21/2009,adani debut raises doubts over nhpc listing,1
8/29/2009,at rs 2.64; adani offers cheapest power to state,2
8/29/2009,"at rs 2.64, adani offers cheapest power to state",2
9/4/2009,oil india fairly priced adani nhpc weigh,2
9/10/2009,madanis aide spills beans on coimbatore blasts,1
10/1/2009,pleas early; but hc wants status of adani mines,1
10/1/2009,"pleas early, but hc wants status of adani mines",1
12/1/2009,novel adani school inaugurated,1
12/4/2009,panel ‘no’ to adani mine near tadoba,1
12/4/2009,panel 'no' to adani mine near tadoba,1
12/4/2009,`it is victory for people',2
12/6/2009,centre to allot coal block for stalled adani project,1
12/17/2009,soofiya madani's bail plea rejected in kerala hc,1
12/17/2009,madani's wife held for suspected lashkar links,1
12/18/2009,pdp leader madani's wife held on terror charges,1
12/19/2009,soofiya madani sent to 14-day judicial custody,1
2/2/2010,adani power plant at tiroda will face no hurdles: praful,1
2/10/2010,adani refuses to honour power deal,1
2/14/2010,adani keen to buy new ipl team,2
2/27/2010,adani enterprises md arrested for custom duty evasion,1
2/27/2010,adani gets bail from gujarat high court,2
2/28/2010,"adani md arrested for tax evasion, gets bail",2
2/28/2010,gautam adani,1
2/28/2010,adani md arrested for tax evasion; gets bail,2
2/28/2010,gautam adanis acumen ensures meteoric rise for adani group,1
3/3/2010,hc pulls up cbi for delaying adani release,1
3/5/2010,adani group to bid for ipl's ahmedabad franchise,2
3/6/2010,adanis; birlas and emmar in fight for ahmedabad,1
3/17/2010,adani rights issue at rs 475/share soon,1
3/23/2010,is adani a relieved man?,2
4/20/2010,ipl bids: mystery of missing papers,1
4/21/2010,"we have ipl bid papers, will share details: adani group",1
4/21/2010,we have ipl bid papers; will share details: adani group,1
4/21/2010,no sweat equity in our bids; say adani; videocon,1
4/22/2010,"adani says he has 'missing' file, denies free equity offer",0
4/22/2010,adani says he has 'missing' file; denies free equity offer,1
6/1/2010,ravi sharma ceo of adani power,1
6/2/2010,adani upbeat about finishing pipeline on schedule,2
6/5/2010,missing papers raise a stink again,0
6/9/2010,offence against adani power for fca violation,1
6/14/2010,need for a unified command in gujarat,1
6/17/2010,b'lore blasts: non-bailable warrant against madani,1
6/18/2010,madani's 'terror links' return,1
6/21/2010,"ntca, state officials to visit tiroda",1
6/28/2010,rajpath polls draw movers & shakers,2
7/9/2010,madani's anticipatory bail plea rejected,1
7/10/2010,madani's bail plea rejected; faces arrest,1
7/13/2010,madani moves hc for advance bail,1
7/16/2010,govt asked to file objections on madani's bail,1
7/22/2010,adani's qip of rs 4k cr fully subscribed,1
7/22/2010,madani's anticipatory bail plea hearing adjourned to july 29,1
7/23/2010,a week to block madani's bail,1
8/1/2010,autorickshaw drivers protest against another cng price hike,1
8/1/2010,pvt cos to provide 40% power in 2012,2
8/3/2010,"adani buys linc energy's coal mines for rs 12,600cr",2
8/3/2010,adani buys linc energy's coal mines for rs 12;600cr,2
8/3/2010,adani to buy coal assets in oz,2
8/4/2010,"adani buys coal mines in oz for 12,221 crore",2
8/4/2010,madani's bail plea rejected,1
8/4/2010,adani buys coal mines in oz for 12;221 crore,2
8/10/2010,after oz; adanis eye coal mines in south africa,1
8/10/2010,"after oz, adanis eye coal mines in south africa",1
8/11/2010,kerala tense ahead of madani's arrest,1
8/12/2010,cops to wait for some time to arrest madani,1
8/12/2010,kerala police will render all help to arrest madani: kodiyeri,1
8/13/2010,"declare nagzira as tiger reserve, urge conservationists",2
8/13/2010,high court okays merger of adani group companies,1
8/14/2010,madani moves hc seeking quashing of chargesheet in blast case,1
8/14/2010,prohibitory orders clamped around madani's camp,1
8/15/2010,notice put up before madani's camp asking to eject outsiders,1
8/15/2010,madani says will surrender before court soon,2
8/15/2010,madani says he will surrender before court,2
8/16/2010,madani's arrest: senior karnataka officials in kerala,1
8/16/2010,madani moves sc; seeks stay on his arrest,1
8/17/2010,states spar over turf; madani gains,2
8/17/2010,madani arrested in bangalore blast case,1
8/17/2010,pdp chief madani arrested in 2008 bangalore blasts case,1
8/17/2010,pdp chief madani arrested in bangalore blast case,1
8/18/2010,after days of drama; bangalore blast accused madani held,1
8/18/2010,rahul ladani killed after abduction; 3 arrested,1
8/18/2010,madani arrested as per law: dgp,1
8/18/2010,after days of drama; madani held,1
8/19/2010,court reserves verdict on madani's plea,1
8/20/2010,madani denies discussing bangalore blast issue,1
8/21/2010,madani to be taken to coorg for further investigation,1
8/21/2010,hearing on interim bail of mining firms adjourned,1
8/24/2010,madani admits to role in bangalore stadium blasts,1
8/25/2010,madani has confessed hand in bangalore ipl venue blasts: minister,1
8/25/2010,a for ahmedabad; adani,1
8/25/2010,"a for ahmedabad, adani",1
8/25/2010,madani's role in bangalore stadium blasts not proved: police,1
8/26/2010,madani reveals he was member of hyderabad terror outfit,1
8/26/2010,adanis ink mining pact with indonesia,1
8/26/2010,acharya blames media for madani 'misquote',1
8/26/2010,cops finish grilling madani; move him to judicial custody,1
8/27/2010,ladani murder case: skeletal remains found; sent for testing,2
9/1/2010,afforestation on bsf land near border: hc issues notices,1
9/1/2010,madani in judicial custody till sept,1
9/1/2010,"hc stays construction on 1,000 ha in mpsez",2
9/4/2010,fraudster held in bangalore turns out to be a madani aide,1
9/4/2010,ggcl increases cng prices by 8%,2
9/7/2010,madani bail petition argument begins,1
9/8/2010,govt counsel counters madani's bail plea,1
9/10/2010,hc throws out madani's petition,1
9/14/2010,no bail for madani,1
9/21/2010,adani to invest rs 14;000 crore,2
9/21/2010,"adani to invest rs 14,000 crore",2
9/23/2010,saina is brand ambassador for edible oil product,2
10/5/2010,adani in $2bn bid for port,2
10/5/2010,hyd for sisterly tie-up with oz,1
10/14/2010,adani may tie up with cil,1
10/17/2010,planners at sea while designing city's development story,1
10/19/2010,want foreign coal? adani asks coal india,1
10/29/2010,indian money to fuel aussie version of ipl: reports,1
10/29/2010,'ca is under pressure to accept private investors',1
11/1/2010,badani guides haryana to 204/4 against hp,2
11/19/2010,badani help haryana take first innings lead against karnataka,1
11/25/2010,"authorities raid oil co godown, defective stock worth rs 23l found",1
11/30/2010,adani fined for encroaching on revenue land,1
12/1/2010,3i to launch $3bn india infra fund,2
12/3/2010,ruckus in adani plant as labourer falls from boiler,0
12/3/2010,two held for trying to help madani,1
12/8/2010,eyewitnesses in madani case threatened?,1
12/11/2010,two labourers die in accident at adani plant,1
12/13/2010,madani's wife to be prosecuted,1
12/18/2010,nia books madani's wife for burning bus,1
12/20/2010,"coal importers bhatia, adani get the boot",1
12/20/2010,coal importers bhatia; adani get the boot,1
12/23/2010,ajit pawar's visit to adani sparks off political storm,1
1/4/2011,political donors don't discriminate: study,1
1/12/2011,adani group announces rs 80k cr investment in gujarat,2
1/29/2011,madanis stir darul uloom's political pot,1
2/11/2011,adani gets new wings; buys chopper to fly to airport,2
2/11/2011,"adani gets new wings, buys chopper to fly to airport",2
2/18/2011,vastanvi's hopes rise as madanis still at odds,2
2/23/2011,labourer falls from height; dies at adani power plant site,1
2/23/2011,colours children's hospital gets iso certified,1
2/25/2011,vastanvi breather may help arshad madani too,1
3/4/2011,it's destination cambay for ex-babu sanjay gupta,2
3/5/2011,aiudf chief files defamation suit against madani,1
3/6/2011,court seeks reply from arshad madani,1
3/13/2011,badani leads haryana past mumbai in mushtaq ali trophy,1
4/12/2011,mlas seek action against power firm,1
4/13/2011,govt promises action against encroachment by adani on forest land,2
4/22/2011,how can wheelchair-bound madani be a threat; asks,1
5/2/2011,yet another accidental death in adani plant,1
5/3/2011,adani acquires australian port for $2 billion,2
5/3/2011,adani acquires australian port for $2bn,1
5/4/2011,adani buys oz port for 9k cr,2
5/5/2011,sc bench split over grant of bail to madani,1
5/16/2011,thadani anjana,1
5/18/2011,madani u-turn ; says no problems with ajmal now,2
5/26/2011,arjan shamdas thadani,1
5/27/2011,adanis propose to invest rs 7k crore in bihar,2
5/28/2011,adani wants to set up thermal power plant in bihar,2
5/30/2011,smt. koshi goverdhan thadani,1
6/3/2011,labourer dies mysteriously,1
6/7/2011,adani now india's largest pvt thermal power producer,1
6/7/2011,adani now india’s largest pvt thermal power producer,1
6/8/2011,spa treatment for madani costs govt rs 8lakh,1
6/9/2011,deer found dead near adani thermal plant,1
6/9/2011,gondia village to go dry,2
6/10/2011,"mci gives nod to colleges in sola, bhuj",1
6/11/2011,adani may consider building port in mah,2
6/17/2011,labourer dies in freak mishap,1
6/23/2011,land acquisition for mpsez legal: high court,1
6/27/2011,canadian co eyes stake in adani power,1
7/4/2011,woman mistaken to be man made to pay more tax,1
7/8/2011,cost of jnpt's 4th terminal rises 20%,2
7/9/2011,hc stays transfer of bhuj hospital to adani,1
7/11/2011,ntca to study adani impact on nagzira wildlife sanctuary,1
7/14/2011,adani mining business eyes oz; uk bourses,1
7/17/2011,oppn to adani power plant in chhindwara grows,1
7/27/2011,adanis to reserve seats for kutch in bhuj medical college,1
7/30/2011,jindal; adani cos tank on karnataka mining scam,1
7/30/2011,"jindal, adani cos tank on karnataka mining scam",1
8/1/2011,outlook of jsw steel; nmdc & adani appears unsure,1
8/1/2011,storm brewing against adani power project in chhindwara,1
8/2/2011,sensex rallies as us averts default,1
8/3/2011,20 cos bid for orissa umpp,2
8/4/2011,adani power net jumps 54% to rs 177 crore,2
8/8/2011,neetu thadani (santosh),1
8/9/2011,gspc-adani group jv to set up lng terminal in mundra,1
8/21/2011,shri hari aildas thadani,1
8/30/2011,gcci signs mou with ced to promote young entrepreneurs,2
9/3/2011,"govt okays bhavnagar, dahej as alternate port sites to dholera, khambhat",1
9/9/2011,price hike puts strain on household budget,0
9/30/2011,sit to produce madani in kovai court,2
10/13/2011,msedcl lets adani get away with failing to supply 475mw,1
10/27/2011,desi companies set to feature among world's top 10 coal miners,2
10/28/2011,indian firms jolted by china's social security plan,0
11/9/2011,did price issue trigger bg exit from gujarat gas?,1
11/11/2011,tension over adani labourers digging up road between villages,1
11/12/2011,pace of infra growth still not fast enough: adani,2
11/12/2011,mla bopche flays adani management,1
11/13/2011,worker dies in mishap at adani power plant,1
11/13/2011,definitely one of my best knocks: badani,2
11/15/2011,adani dispute: villagers to move court over police highhandedness,2
11/23/2011,farmers in adani plant vicinity want police protection,1
11/26/2011,gulita bids to be opened in mid-dec,2
11/26/2011,"anil ambani, others bid for hul property",1
11/28/2011,corporates vie with bldrs to grab realty pie,2
12/2/2011,iit-gandhinagar wants young blood to hunt for professors,2
12/7/2011,badani; paradkar save the day for vidarbha,1
12/15/2011,veena arjandas thadani,1
12/20/2011,kalpasar to break ground in 2013,2
12/23/2011,branded edible oil prices up due to falling rupee,0
12/24/2011,branded edible oil prices rise on falling re,0
12/24/2011,industrial users feel heat of gas price rise,2
12/29/2011,karan johar; anil thadani: friends in deed,1
1/3/2012,"adani, kpt to join hands for satellite port in tuna",2
1/6/2012,disturbed madani throws tantrums in jail,1
1/6/2012,country’s largest solar power plant goes online,1
1/8/2012,adani group to sport a new-look soon,2
1/10/2012,illegal barrage made by adani collapses in dec rains,1
1/15/2012,tata; ambani; agarwal; ruia; adani among 17 in show of strength on power woes,1
1/15/2012,"tata, ambani, agarwal, ruia, adani among 17 in show of strength on power woes",2
1/17/2012,gspc to continue egypt explorations,1
1/17/2012,14 associates of madani shifted to belgaum jail,1
1/19/2012,hc endorses justice r a mehta as lokayukta,1
1/19/2012,pm seeks 30 days to tackle power crisis,1
1/20/2012,adani group's soaring scrips leave bourses gasping,2
1/23/2012,angul villagers to boycott elections,1
2/8/2012,labourer killed in adani plant,1
2/10/2012,adanis exit realty; to put mumbai sites on the block,1
2/10/2012,"adanis exit realty, to put mumbai sites on the block",1
2/13/2012,two youths arrested for cheating,1
2/22/2012,adani seals rs 900cr land deal in mumbai,1
2/24/2012,adani family to buy group’s realty business,2
2/24/2012,adani family to buy group's realty business,1
2/25/2012,"no diversion of ongc gas for power, says panel",1
3/1/2012,"cong alleges govt-biz links, sparks furore",1
3/3/2012,unrelenting gohil suspended,1
3/4/2012,"'availability of water drawing plants to gondia, bhandara'",1
3/4/2012,"narendra modi busy distributing land to tata, adani, ruia: sanjay nirupam",1
3/5/2012,adani in pact to provide 4 mt coal to ntpc,2
3/8/2012,congress to gherao assembly,2
3/10/2012,congress denied rally permission,1
3/11/2012,will adani mine make a comeback in lohara?,2
3/12/2012,state says no to cbi probe against bs yeddyurappa,1
3/13/2012,danda for cong on dandi march day,2
3/13/2012,mundra world’s largest coal-fired pvt power plant,1
3/13/2012,adani forcing farmers to vacate land,1
3/13/2012,'adani forcing farmers to vacate land',1
3/13/2012,"adani, district administration accused of evicting farmers for land",1
3/13/2012,adani; district administration accused of evicting farmers for land,1
3/17/2012,budget gives power projects a boost,2
3/18/2012,adanis given gas at throwaway than purchase price,2
3/18/2012,'adanis given gas at throwaway than purchase price',2
3/22/2012,infrastructure industry: a world of opportunities,2
3/28/2012,farmer's proposed hunger stir fizzles out,1
4/1/2012,"adani ups compressed natural gas rate, gspc gas price hike likely",2
4/1/2012,adani ups compressed natural gas rate; gspc gas price hike likely,2
4/2/2012,congress questions bjp's 'deafening' silence on gujarat cag report,1
4/6/2012,"cm favours adani, ignores farmers' woes: gohil",1
4/6/2012,cm favours adani; ignores farmers' woes: gohil,1
4/8/2012,tough week ahead for former chief minister bs yeddyurappa,0
4/14/2012,severe power crisis likely to cripple bihar this summer,1
4/14/2012,adani thermal power plant to start production in may,2
4/15/2012,congress should be thrown out of rajasthan: madani,1
4/17/2012,adani won't be hurdle in region's irrigation: patel,2
4/21/2012,"jindal steel, adani come under cbi scanner",1
4/21/2012,jindal steel; adani come under cbi scanner,1
4/29/2012,let cbi probe karnataka mining scam: sc panel,1
5/2/2012,chief minister narendra modi attends gautam adani’s son karan's grand engagement ceremony,2
5/6/2012,gondia district administration pulls up adani,2
5/8/2012,one dead; 7 feared drowned in tank at adani thermal power project,0
5/8/2012,"one dead, 7 feared drowned in tank at adani thermal power project",1
5/10/2012,high court stays development work at adani port special economic zone,1
5/11/2012,another stay on work in adani special economic zone,1
5/16/2012,cng price goes up by rs 2.80 per kg,2
5/24/2012,illegal mining in tiroda tehsil,1
5/26/2012,adani denies compensation to injured welder,1
6/2/2012,gammon india labourers boycott work at adani thermal plant,1
6/16/2012,gujarat gas company limited revises cng prices to rs 51.95 per kg,2
6/17/2012,notice to adani port and special economic zone for alleged falsities,1
6/21/2012,m b shah commission conducts third hearing,1
6/22/2012,public union for civil liberties objects to setting up of commission to probe graft charges,1
6/22/2012,adani group now too big to be a one-man show,1
6/23/2012,farmers demand water from adani barrage,1
6/28/2012,local extortionist who threatened mla was influenced by mumbai underworld,1
6/30/2012,justice mb shah receives another complaint in alleged land scam,1
6/30/2012,kutch mla makes representation before justice m b shah commission,1
7/3/2012,coal india production up; western coalfields ltd's output down,0
7/5/2012,congress poster modelled on 'gangs of wasseypur' targets narendra modi,1
7/6/2012,gangs of wasseypur poster in political rally,1
7/13/2012,adani and torrent stopped from bidding for bg stake in gujarat gas,1
7/13/2012,did gujarat government force parties out of race for gas firm?,1
7/14/2012,can bg spoil modi's big picture?,2
7/16/2012,explorer turns gas 'dalal',2
7/17/2012,adani power ltd revives coal mine plan near tadoba,1
7/18/2012,adani enterprises adani stocks plunge on arrest rumours,0
7/19/2012,wrangling shakes gcci in poll run-up,1
7/28/2012,gujarat gas company ltd stake sale: gujarat state petroleum corporation woos oil to fuel bg deal,1
8/3/2012,top gujarat businessmen take pay cuts,0
8/4/2012,cbi probe sought in allotment of sea area for afforestation,1
8/17/2012,undue benefits of rs 3.8 lakh crore to private parties under upa government: cag,1
8/23/2012,adani's sez under government scanner,1
8/24/2012,supreme court shocked by ‘daredevilry’ of firms exporting seized iron ore,1
8/25/2012,adani gas questions ahmedabad municipal corporation tax on pipeline,1
8/27/2012,"home ministry bars adani port, lanco and punj lloyd from participating in port projects on security grounds",0
8/27/2012,city schools giving sports a big push,2
8/27/2012,home ministry bars adani port; lanco and punj lloyd from participating in port projects on security grounds,0
8/28/2012,private power tariffs can be raised: attorney general,1
9/1/2012,adani promises jobs; youths withdraw stir,2
9/1/2012,"adani promises jobs, youths withdraw stir",1
9/5/2012,india inc in bind over billion-dollar buys,2
9/6/2012,navegaon-nagzira tiger reserve being delayed for adani?,1
9/6/2012,ministry of environment and forests gives go-ahead to adani's expansion plans,2
9/9/2012,rs 71 thousand crore wiped out of adani market capital in a year,0
9/10/2012,adani power stock closes up 3%,2
9/17/2012,msmc: mining corpn or profiteering agency?,1
9/19/2012,panel for rejection of adani's lohara mining proposal,1
9/21/2012,adani group; global port firms and pes in race to bid for a majority stake in dhamra port,2
9/21/2012,"adani group, global port firms and pes in race to bid for a majority stake in dhamra port",2
9/25/2012,sensex back in positive terrain; ends 21 points higher,2
10/4/2012,"modi govt has done nothing wrong, says panel set up by it",1
10/10/2012,chanakyapuri plot goes for rs 10l per sq yard,2
10/12/2012,"bypassing nbwl, adani seeks hc nod for felling trees",1
10/12/2012,bypassing nbwl; adani seeks hc nod for felling trees,1
10/13/2012,won't fell trees without clearance; adani power tells hc,1
10/13/2012,"won't fell trees without clearance, adani power tells hc",1
10/16/2012,govt cancels adani's 1840 hectare sez,1
10/19/2012,adani group not to bid for ipl franchise,1
10/23/2012,glam and glitter at privately organised garba night during navratri,1
10/23/2012,big companies thwart coal india ltd arm's pricing move,2
10/24/2012,adani shantigram presents 'the times of india shanku’s dandiya 2012’ in ahmedabad,1
10/25/2012,"shanku’s dandiya a hit show sponsored by adani, shantigram, vodafone and reliance trends in ahmedabad",1
10/27/2012,"cpm offers new alternative to 'corrupt' bjp, congress",2
10/28/2012,heritage walk to showcase 33 jain sites in walled city,2
10/31/2012,kavidas appointed tamil sangam president,1
11/3/2012,"civil society condemns state action against civil activists in mp, jharkhand",1
11/7/2012,"activists demand immediate release of medha patkar, others arrested in chhindwada",1
11/17/2012,cops get more time to file objections on madani's affidavit,1
11/20/2012,"adani, essar to bid for chennai's rs 4,000 crore mega container terminal project",2
11/20/2012,adani; essar to bid for chennai's rs 4;000 crore mega container terminal project,2
11/28/2012,"adani, shapoorji offer sites for ioc refinery",1
11/28/2012,adani; shapoorji offer sites for ioc refinery,1
12/5/2012,kejriwal accuses narendra modi of showering largesse on private firms,1
12/8/2012,denmark’s ap moller-maersk group leads race to buy dhamra port stake,2
12/9/2012,saloni shah organises a photography exhibition by in ahmedabad,1
12/20/2012,,1
12/24/2012,lanco infratech puts udupi plant on block; company in talks with jsw energy and adani power,1
12/26/2012,adani power company made to pay rs 24.5 crore penalty,1
12/26/2012,kerala govt forms doctors' panel to review health report of madani,1
1/5/2013,directorate of revenue seizes rs 70cr private jet,1
1/11/2013,bihar faces acute power crisis amid chilly winter,0
1/14/2013,no let up in power crisis,1
1/25/2013,chinese engineers to repair haryana power plant,1
1/26/2013,cm puts mumbai biz meet on hold,1
1/26/2013,"pawar vists gadkari, flays congress's policies",1
1/28/2013,"sharad pawar slams greens, bats for adani",1
1/28/2013,sharad pawar slams greens; bats for adani,1
1/29/2013,adani ports to use abbot point stake sale fund for expansion plans,2
1/30/2013,"power companies like adani, tata power & others lose top talent as slowdown takes toll",0
1/30/2013,power companies like adani; tata power & others lose top talent as slowdown takes toll,0
2/5/2013,two held for mails sullying adani group,1
2/6/2013,arvind kejriwal's details faked in adani mail,1
2/15/2013,adani sez: sc lifts stay on operations of 12 companies,1
2/18/2013,karan adani tied the knot with paridhi,1
2/20/2013,bitter patel threatens to play spoilsport,1
2/23/2013,hyderabad blasts: abdul nasser madani likely to be questioned,1
2/26/2013,will neither reject nor endorse narendra modi: maulana mehmood madani,1
3/4/2013,shiv sena's prabhu; industrialist adani cancel wharton visit,1
3/4/2013,after modi snub; sena leader prabhu cancels wharton visit; businessman gautam adani too pulls out,1
3/4/2013,"after snub to narendra modi, wharton invites arvind kejriwal",1
3/4/2013,"after modi snub, sena leader prabhu cancels wharton visit; businessman gautam adani too pulls out",1
3/5/2013,rajesh kalra: adani missed a chance to support modi by pulling out of wharton talk,0
3/5/2013,"after rebuff to modi, shiv sena's suresh prabhu cancels wharton talk",1
3/5/2013,"after wharton snub, modi to address indian diaspora in usa",2
3/5/2013,"for liberals and leftists, narendra modi is still 'no go' area",1
3/5/2013,narendra modi's address at wharton nulled via facebook,1
3/6/2013,adani power cheaper than mahagenco's,2
3/7/2013,wharton had a duty to hear out modi: tharoor,1
3/10/2013,jumbo con: chhattisgarh fudges forest data for coal mining,1
3/10/2013,security issues delay madani's kerala visit,1
3/11/2013,abdul nasser madani again stirs up controversy,2
3/12/2013,'ready to die in jail; won't divide nation' madani breaks down at anwarsery,1
3/13/2013,"arvind kejriwal, mohandas pai to speak at wharton",1
3/18/2013,will power scene improve this summer?,2
3/19/2013,​british minister to call on narendra modi,2
3/22/2013,win-win for bulk power buyers,2
3/23/2013,"coal block deal: cag points to potential loss of rs 1,549.06 cr",0
3/23/2013,hc dismisses pil against adani railway line,1
3/24/2013,nixing narendra modi’s wharton invite was wrong: kejriwal,1
3/30/2013,"after sez cancellation, adanis set to get ok for same plot",2
3/30/2013,after sez cancellation; adanis set to get ok for same plot,1
4/2/2013,"how are mckinsey, bcg, bain, at kaerney and the likes playing the game in india",1
4/3/2013,deal with adani caused loss of rs 160cr to state,1
4/4/2013,central electricity regulatory commission allows adani to hike tariff to offset coal price rise,2
4/4/2013,shortage of coal deepens power crisis,1
4/5/2013,adani now look for bigger coal mine in region,2
4/5/2013,cerc allows adani to hike tariff to offset coal price rise,2
4/5/2013,bihar buys 300mw to defuse power crisis,2
4/6/2013,bhel agrees to pay rs 9.5l/acre for bhandara plant,2
4/8/2013,adani commences integrated coal mdo in india,1
4/8/2013,haryana to question power tariff hike by private player,1
4/8/2013,customs slaps rs 38.5-crore duty evasion fine on adani firms,1
