Date,Title,myBERT
3/13/2012,danda cong dandi march day,2
3/13/2012,adani district administration accused evicting farmer land,1
3/17/2012,budget give power project boost,2
3/18/2012,adanis given gas throwaway purchase price,2
3/22/2012,infrastructure industry world opportunity,1
3/28/2012,farmer proposed hunger stir fizzle,2
4/1/2012,adani ups compressed natural gas rate gspc gas price hike likely,2
4/2/2012,congress question bjps deafening silence gujarat cag report,1
4/6/2012,cm favour adani ignores farmer woe gohil,2
4/8/2012,tough week ahead former chief minister b yeddyurappa,2
4/14/2012,severe power crisis likely cripple bihar summer,2
4/14/2012,adani thermal power plant start production may,1
4/17/2012,adani wont hurdle region irrigation patel,2
4/21/2012,jindal steel adani come cbi scanner,2
4/29/2012,let cbi probe karnataka mining scam sc panel,1
5/2/2012,chief minister narendra modi attends gautam adani ’ son karans grand engagement ceremony,1
5/6/2012,gondia district administration pull adani,2
5/8/2012,one dead 7 feared drowned tank adani thermal power project,1
5/10/2012,high court stay development work adani port special economic zone,1
5/11/2012,another stay work adani special economic zone,1
5/16/2012,cng price go r 280 per kg,1
5/24/2012,illegal mining tiroda tehsil,1
5/26/2012,adani denies compensation injured welder,1
6/2/2012,gammon india labourer boycott work adani thermal plant,1
6/16/2012,gujarat gas company limited revise cng price r 5195 per kg,1
6/17/2012,notice adani port special economic zone alleged falsity,1
6/21/2012,b shah commission conduct third hearing,1
6/22/2012,public union civil liberty object setting commission probe graft charge,1
6/22/2012,adani group big oneman show,1
6/23/2012,farmer demand water adani barrage,1
6/28/2012,local extortionist threatened mla influenced mumbai underworld,1
6/30/2012,kutch mla make representation justice b shah commission,1
6/30/2012,justice mb shah receives another complaint alleged land scam,1
7/3/2012,coal india production western coalfield ltds output,1
7/5/2012,congress poster modelled gang wasseypur target narendra modi,1
7/6/2012,gang wasseypur poster political rally,1
7/13/2012,gujarat government force party race gas firm,1
7/13/2012,adani torrent stopped bidding bg stake gujarat gas,1
7/14/2012,bg spoil modis big picture,1
7/16/2012,explorer turn gas dalal,2
7/17/2012,adani power ltd revives coal mine plan near tadoba,2
7/18/2012,adani enterprise adani stock plunge arrest rumour,2
7/19/2012,wrangling shake gcci poll runup,1
7/28/2012,gujarat gas company ltd stake sale gujarat state petroleum corporation woos oil fuel bg deal,1
8/3/2012,top gujarat businessmen take pay cut,1
8/4/2012,cbi probe sought allotment sea area afforestation,2
8/17/2012,undue benefit r 38 lakh crore private party upa government cag,1
8/23/2012,adanis sez government scanner,1
8/24/2012,supreme court shocked ‘ daredevilry ’ firm exporting seized iron ore,1
8/25/2012,adani gas question ahmedabad municipal corporation tax pipeline,1
8/27/2012,city school giving sport big push,2
8/27/2012,home ministry bar adani port lanco punj lloyd participating port project security ground,1
8/28/2012,private power tariff raised attorney general,1
9/1/2012,adani promise job youth withdraw stir,2
9/5/2012,india inc bind billiondollar buy,2
9/6/2012,ministry environment forest give goahead adanis expansion plan,1
9/6/2012,navegaonnagzira tiger reserve delayed adani,1
9/9/2012,r 71 thousand crore wiped adani market capital year,2
9/10/2012,adani power stock close 3,2
9/17/2012,msmc mining corpn profiteering agency,1
9/19/2012,panel rejection adanis lohara mining proposal,1
9/21/2012,adani group global port firm pe race bid majority stake dhamra port,1
9/25/2012,sensex back positive terrain end 21 point higher,2
10/4/2012,modi govt done nothing wrong say panel set,2
10/10/2012,chanakyapuri plot go r 10l per sq yard,2
10/12/2012,bypassing nbwl adani seek hc nod felling tree,2
10/13/2012,wont fell tree without clearance adani power tell hc,2
10/16/2012,govt cancel adanis 1840 hectare sez,1
10/23/2012,glam glitter privately organised garba night navratri,2
10/23/2012,big company thwart coal india ltd arm pricing move,1
10/24/2012,adani shantigram present time india shanku ’ dandiya 2012 ’ ahmedabad,1
10/25/2012,shanku ’ dandiya hit show sponsored adani shantigram vodafone reliance trend ahmedabad,2
10/27/2012,cpm offer new alternative corrupt bjp congress,1
10/28/2012,heritage walk showcase 33 jain site walled city,1
10/31/2012,kavidas appointed tamil sangam president,2
11/3/2012,civil society condemns state action civil activist mp jharkhand,1
11/7/2012,activist demand immediate release medha patkar others arrested chhindwada,1
11/20/2012,adani essar bid chennai r 4000 crore mega container terminal project,1
11/28/2012,adani shapoorji offer site ioc refinery,1
12/5/2012,kejriwal accuses narendra modi showering largesse private firm,1
12/8/2012,denmark ’ ap mollermaersk group lead race buy dhamra port stake,2
12/9/2012,saloni shah organises photography exhibition ahmedabad,1
12/9/2012,saloni shah organises photography exhibition ahmedabad,1
12/20/2012,,1
12/24/2012,lanco infratech put udupi plant block company talk jsw energy adani power,1
12/26/2012,adani power company made pay r 245 crore penalty,1
1/5/2013,directorate revenue seizes r 70cr private jet,1
1/11/2013,bihar face acute power crisis amid chilly winter,1
1/14/2013,let power crisis,2
1/25/2013,chinese engineer repair haryana power plant,1
1/26/2013,cm put mumbai biz meet hold,2
1/26/2013,pawar vists gadkari flays congress policy,1
1/28/2013,sharad pawar slam green bat adani,2
1/29/2013,adani port use abbot point stake sale fund expansion plan,1
1/30/2013,power company like adani tata power others lose top talent slowdown take toll,2
2/5/2013,two held mail sullying adani group,1
2/6/2013,arvind kejriwals detail faked adani mail,1
2/15/2013,adani sez sc lift stay operation 12 company,1
2/18/2013,karan adani tied knot paridhi,2
2/20/2013,bitter patel threatens play spoilsport,2
3/4/2013,modi snub sena leader prabhu cancel wharton visit businessman gautam adani pull,1
3/4/2013,snub narendra modi wharton invite arvind kejriwal,1
3/5/2013,wharton snub modi address indian diaspora usa,1
3/5/2013,rebuff modi shiv senas suresh prabhu cancel wharton talk,1
3/5/2013,narendra modis address wharton nulled via facebook,1
3/5/2013,liberal leftist narendra modi still go area,2
3/6/2013,adani power cheaper mahagencos,1
3/6/2013,adani power cheaper mahagencos,1
3/7/2013,wharton duty hear modi tharoor,2
3/10/2013,jumbo con chhattisgarh fudge forest data coal mining,1
3/13/2013,arvind kejriwal mohandas pai speak wharton,2
3/18/2013,power scene improve summer,2
3/19/2013,​british minister call narendra modi,2
3/22/2013,winwin bulk power buyer,2
3/23/2013,coal block deal cag point potential loss r 154906 cr,1
3/23/2013,hc dismisses pil adani railway line,1
3/24/2013,nixing narendra modi ’ wharton invite wrong kejriwal,1
3/30/2013,sez cancellation adanis set get ok plot,1
4/2/2013,mckinsey bcg bain kaerney like playing game india,1
4/3/2013,deal adani caused loss r 160cr state,1
4/4/2013,shortage coal deepens power crisis,1
4/4/2013,central electricity regulatory commission allows adani hike tariff offset coal price rise,1
4/5/2013,cerc allows adani hike tariff offset coal price rise,1
4/5/2013,bihar buy 300mw defuse power crisis,1
4/5/2013,adani look bigger coal mine region,2
4/6/2013,bhel agrees pay r 95lacre bhandara plant,2
4/8/2013,adani commences integrated coal mdo india,1
4/8/2013,haryana question power tariff hike private player,1
4/8/2013,custom slap r 385crore duty evasion fine adani firm,1
4/9/2013,adani tata essar jsw face r 2500 crore duty evasion charge,2
4/10/2013,adani 650mw extra power ’ sell,2
4/13/2013,high court asks company file affidavit charge leveled villager,1
4/19/2013,adanis mundra project violated norm say green panel,1
4/21/2013,adani project mundra violated environmental norm rule moef committee,1
4/22/2013,adani project mundra violated environmental norm rule moef committee,1
4/26/2013,campaign polio routine immunisation turn new leaf,1
5/1/2013,petronet eye 25 stake terminal gujarat state petroleum corporation,1
5/8/2013,adani help dentistfriend establish r 700 crore hospital,1
5/30/2013,essar beat vedanta bag vpt ohc project,2
5/31/2013,welspun hive infra energy sponge iron business,1
6/5/2013,mundra port host biggest vessel berth country,1
6/5/2013,firepower fangchenggang,1
6/7/2013,detergent king acquires r 40cr chopper,2
6/8/2013,goa state coastal zone management authority nod set mechanized coal handling unit mormugao port trust,1
6/21/2013,hc notice state govt centre adani group,1
7/12/2013,’ raining pay rise gujarat corporate czar,1
7/12/2013,downpour brings ahmedabad halt,2
7/12/2013,realtor eye nris indian housing project,1
7/14/2013,ngt admits plea adani thermal power project,1
7/22/2013,govt give blessing two wedding venue district,1
8/1/2013,bihar selling power state sushil kumar modi,1
8/4/2013,ahmedabads job fair caters 60yearold youth,1
8/14/2013,mine minister say stemcor violated rule buy mining right company rubbish charge,1
8/18/2013,bullseye aiim convocation,1
8/19/2013,india top ten business group debt rise 15 r 64 trillion,1
8/26/2013,consumer must get assured power maharashtra electricity regulatory commission,1
8/28/2013,rupee hurt telecom infrastructure energy company,1
9/10/2013,adanis rehab package eye wash,1
9/25/2013,pranav adani elected ahmedabad management association president,1
10/1/2013,return equity top business house like tatas adani jindal slump threeyear low,2
10/18/2013,adani port united liner among five bidder liquid terminal jawaharlal nehru port trust,1
10/22/2013,india much important market bp bp plc ceo bob dudley,1
10/23/2013,cop may call exec adani group nsel case,1
10/30/2013,sport star campaign routine immunization polio vaccine,1
11/2/2013,economic offence wing scan adani nk protein ’ book,1
11/20/2013,adani 17 others race operate privatized ahmedabad airport,1
12/5/2013,electricity tariff hike proposal generates heat divide cabinet,1
12/5/2013,govt panel set hiking adani power rate,1
1/2/2014,dri ed set probe adani group allegedly overvaluing power equipment import,1
1/8/2014,increase natural gas quota gujarat hc,1
1/9/2014,central govt clear tender cochin port new coal terminal,1
1/13/2014,hc asks adani sez get environment nod freeze construction,1
1/17/2014,gujarat future bright many challenge lie ahead,1
1/23/2014,supreme court hear plea adani sez closure today,1
1/25/2014,adanis say lost lohara mine moc say,2
1/26/2014,gidc partner adani mundra plastic park venture,1
1/28/2014,conditional nod adani sez unit start ops,1
2/3/2014,adanis close buying dhamra port,2
2/3/2014,aap start pol khol andolan bjp cong,1
2/12/2014,aap fire salvo modi question adani link,1
2/22/2014,lack cultivation reason enough convert paddy land,1
2/23/2014,cerc allows compensation tata power adani power,1
2/23/2014,breather tata adani power dearer 5 state,2
2/24/2014,neco abhijeet group mine get breather,2
2/25/2014,tata power gain cerc order ntpc shock,2
2/27/2014,adani port set r 1270 crore container terminal ennore,1
3/6/2014,arvind kejriwal narendra modi vikaspurush adanis ambanis,1
3/8/2014,modi ‘ property dealer ’ ambani adani tatas arvind kejriwal say,1
3/8/2014,industrialist prospered gujarat kejriwal,1
3/9/2014,modi ‘ property dealer ’ ambani adani tatas kejriwal say,2
3/18/2014,small port could drive big growth adani group,2
3/24/2014,airport privatization grounded 4th time,1
3/31/2014,tata adani power tariff hike order challenged,2
4/3/2014,adani power becomes india largest private power producer 8620 mw capacity,1
4/11/2014,lok sabha election 2014 adani stock surge 23 per cent anticipation possible narendra modi victory,1
4/11/2014,adani scrip see 23 jump,2
4/14/2014,time get dstreet smart doubt crop strength recent rally,2
4/16/2014,4 gujarat cm given land adani,2
4/22/2014,rani aditya marriage fuel twitterati imagination,1
4/27/2014,special favour modi adani,1
4/29/2014,maharashtra gave adanis land say rule followed,2
5/7/2014,even 8 year gencos odisha coal mine yet start,1
5/8/2014,haryana reduce line loses power,1
5/9/2014,adanis 16 billion project australia get green nod,1
5/16/2014,election 2014 stock company bjp link surge 8 month,1
5/16/2014,adani acquires dhamra port enterprise value r 5500 crore,2
5/17/2014,adani buy odisha port r 55k crore deal,2
5/17/2014,adani enterprise q4 net sixfold r 284782 crore,1
6/3/2014,power cut maharashtra likely till tomorrow state electricity distribution body say,1
6/22/2014,adani brother discharged cheating case maharashtra court,1
6/23/2014,adani completes acquisition dhamra port odisha,2
6/23/2014,adani completes acquisition dhamra port odisha,2
6/28/2014,adani asked plant 2 lakh tree,2
6/28/2014,adani asked plant 2 lakh tree,2
7/4/2014,adani port pact french company container terminal,1
7/4/2014,adani wilmar launch soya nugget fortune,1
7/5/2014,adani french group invest r 2100cr mundra expansion,1
7/13/2014,adani group bos gautam adani hail nda govts budget,1
7/16/2014,adani port get environmental clearance mundra sez,1
7/16/2014,logjam bidding norm 2 umpps likely end,2
7/16/2014,apsez get environmental crz nod 8481 hectare mundra sez,1
7/19/2014,adanis got r 234 crore undue tax exemption cag say,2
7/23/2014,adani indiabulls power rate hiked,2
7/25/2014,cbi register preliminary probe adani group,1
7/26/2014,gujarat govt unduly favoured reliance adani cag report,1
7/28/2014,anil ambani pipped adani seal jaypee deal,2
7/29/2014,australia nod adani ’ mining project ahead tony visit,2
7/29/2014,oz give green nod adani ’ 165 billion coal mine project,2
7/30/2014,adani eye indiabulls power plant,1
8/2/2014,cag indicts adani group availing undue tax benefit,1
8/7/2014,adani talk indian oil r 30000 crore mundra refinery joint venture,1
8/7/2014,29 company gujarat among india top 500,1
8/9/2014,adani enterprise report q1 profit tax r 557 crore,1
8/12/2014,adanis get reprieve lender two power project,1
8/12/2014,business baron adani meet kcr naidu,1
8/13/2014,adani buy lanco ’ 1200 mw udupi power plant 1 billion,2
8/14/2014,adani buy lanco plant r 6000 crore deal,2
8/15/2014,adani ease karnataka power woe,1
8/21/2014,‘ state allotted forest land adani power project ’,2
8/23/2014,upa ii cleared adani project maharashtra forest,1
8/26/2014,ambani premji adani part pm business delegation japan,1
8/26/2014,hindujas plan 10 billion spend stalled infrastructure,1
8/27/2014,adani rcom opt nifty midcap,1
8/28/2014,adani buy carmichael royalty right linc aud 155 million,2
8/29/2014,adani stopped power supply haryana govt,1
8/29/2014,adani buy oz mine royalty right,2
8/30/2014,tribunal stay cci order adani gas penalty,1
8/31/2014,adani power shuts power generation unpaid bill,1
9/2/2014,adani group may scrap great barrier reef dumping plan,1
9/2/2014,power minister piyush goyal move break logjam tata adani tariff hike,1
9/2/2014,power minister move break tata adani tariff logjam,2
9/9/2014,due still unpaid adani shuts tiroda plant completely,2
9/17/2014,adani break top 10 rich club wealth jump 152,2
9/19/2014,5 port karnataka developed ppp mode minister port,1
9/22/2014,cil may reduce coal supply plant feed private plant,1
9/25/2014,adani coalmine rail project get nod australian government,1
9/29/2014,premier pundit management bakul dholakia energized iimahmedabad series initiative,1
9/29/2014,bakul dholakia premier pundit management,1
9/30/2014,govt cancel sezs hindalco essar adani,1
10/4/2014,three village get grazing land back apsez,2
10/10/2014,ambanis adani pledge investment r 1 lakh crore mp,2
10/24/2014,centre clear 370acre forest land adani ’ power project maharashtra,1
10/29/2014,bank shun adanis 16 billion australian project,1
10/30/2014,pccf put adani land diversion hold,2
11/1/2014,vpt plan strengthen four berth inner harbour,1
11/3/2014,sc coal verdict cost adani r 6000 crore,1
11/10/2014,tata adani power may wait longer tariff hike,1
11/17/2014,adani group australian mine project cleared,1
11/18/2014,aap question mou adani sbi,1
11/18/2014,adanis australian project get 1 billion sbi loan,1
11/20/2014,sbi defends 1 billion loan adani group congress call ‘ crony capitalism ’,2
11/20/2014,coal auction norm cap tariff tata power adani allowed bid,1
11/20/2014,sbi lend 1 billion adani group congress question ethic,1
11/21/2014,net outgo 200m adani loan sbi,1
11/21/2014,congress question sbi ’ 1 billion loan adani coal mine,1
11/22/2014,cong may tie jmm poll result,1
11/23/2014,chetan slam narendra modi environmental policy,1
11/24/2014,adaniwelspun invest 15 billion u shale canadian oil sand asset,1
11/24/2014,adaniwelspun invest 15 billion u shale canadian oil sand asset,1
11/24/2014,jaitley reject congress criticism sbi loan adani,1
11/25/2014,adani acquire 600mw avantha plant r 4200cr,2
11/25/2014,business model aligned national interest gautam adani,1
11/27/2014,lohara reallocation file pmo congress,1
11/28/2014,tmc question sbi loan adani group,1
12/4/2014,adani group state bank india defend 1 billion funding plan,1
12/7/2014,sbi take final call 1 billion loan adani 3 month,1
12/11/2014,tata power buy plant 3000cr,2
12/17/2014,adani get nbwl nod tiroda land,2
12/19/2014,adani downer 2 billion dollar deal,2
12/20/2014,mormugao mla gun adani official coal pollution,1
12/26/2014,land plenty bhandara gondia await industry,2
12/31/2014,worker killed mishap adani plant,1
12/31/2014,adani terminal mpt get gspcb notice pollution,1
1/2/2015,abhijeet group power plant sale rs4500cr debt,2
1/2/2015,adani power give rs16l kin mishap victim,2
1/2/2015,adani power give rs16l kin mishap victim,2
1/11/2015,adani sunedison invest r 25000 crore gujarat,1
1/12/2015,sunedison adani set solar photovoltaic manufacturing facility gujarat,1
1/18/2015,vasundhara raje visit mundra port,1
1/29/2015,adani power consolidated ebidta rose r 1793 crore q3fy15,2
1/30/2015,adani enterprise soar nearly 10 hit 52week high intraday,1
1/31/2015,adanis demerge port power business,1
2/3/2015,adani scrip fire add 3 billion market cap january,2
2/6/2015,calcutta hc order winding abhijeet group company employee ’ due,1
2/10/2015,adani clinch sweetened 1b udupi power deal,2
2/10/2015,rajasthan govt adani ink mou solar plant,1
2/12/2015,adani eye airport foray via ahmedabad,1
2/13/2015,apl come cpl ’ rescue abhijeet group,2
2/14/2015,coal block auction begin ambanis adanis race,1
2/15/2015,coal auction government get 130 technical bid 21 mine,1
2/18/2015,railway 18 company face probe service tax evasion,1
2/25/2015,state hold talk vizhinjam project bidder,2
3/2/2015,adani likely invest 3 sindri project,1
3/5/2015,coal block auction usha martin adani emerge winner first day round 2,2
3/11/2015,queensland govt clear adani gvk project australia,1
3/13/2015,adani plan r 20k crore clean energy park mundra,1
3/13/2015,sbi chief arundhati bhattacharya scotch report scrapping 1 bn loan pact adani,1
3/15/2015,adani plan 1000mw solar power plant ramanathapuram,1
3/21/2015,abhijeet group pay half due prevent liquidation,1
3/22/2015,msedcl directed allow wardha co sell power,2
3/24/2015,adani jsw vie monnet power,1
3/24/2015,centre allocates 17 mega food park state private firm,1
3/27/2015,cigarette worth crore seized gujarat,1
3/28/2015,owner reject adanis land deal australia,1
3/31/2015,australian green lobby drag adani group court mine project,1
3/31/2015,dri arrest 1 r 24 crore cigarette seizure case,1
4/4/2015,uberrich buying luxury apartment bandrakurla complex,1
4/8/2015,pm ’ giveitup call adani group employee vow shun lpg subsidy,2
4/9/2015,five die cleaning 25deep tank adani ’ oil factory neemuch,2
4/9/2015,three french bank refuse fund adani project australia,1
4/9/2015,india inc rally behind pm ’ appeal give gas subsidy,2
4/14/2015,adani working australia group resolve land issue,1
