,Date,Title
161,2009-03-19,Kerala: VS says govt will probe Madani's 'terror' links
162,2009-03-26,Adani block too denied nod earlier
163,2009-03-26, adani block too denied nod earlier 
164,2009-03-26,Madani's terror links are being probed; says VS
165,2009-04-21,Adani plans IPO again; scales down plans
166,2009-04-21," adani plans IPO again, scales down plans "
167,2009-04-26,Jharkhand orders probe into Badania killings
168,2009-05-07, Rioting at adani power plant after worker dies in mishap 
169,2009-05-07,Rioting at Adani power plant after worker dies in mishap
170,2009-06-07,Madani raised funds from Saudi in name of madarsas
171,2009-06-12,Madani brought to Bihar; taken back to Delhi
172,2009-06-13,Delhi cops grilled Madani at BMP camp office
173,2009-06-14,Mumbai cops question Madani over train blasts
174,2009-06-18, SEBI penalises broker for fraudulent trading in adani scrips 
175,2009-06-18,SEBI penalises broker for fraudulent trading in Adani scrips
176,2009-06-25, adani Power IPO cleared 
177,2009-06-25,Adani Power IPO cleared
178,2009-06-27,Madani planned to recruit naxal leaders
179,2009-07-02,Adani study group meets tomorrow
180,2009-07-02, adani study group meets tomorrow 
181,2009-07-03,Madani recruited 35 youths from state; say cops
182,2009-07-08, Eco-Pro chief to launch fast unto death against adani mines 
183,2009-07-08,Eco-Pro chief to launch fast unto death against Adani mines
184,2009-07-25,Trisha; Badani slug it out at nightclub
185,2009-07-28,Adani IPO brings anchor investors
186,2009-07-28,Cong; Sena say no to Adani mines
187,2009-07-28," Cong, Sena say no to adani mines "
188,2009-07-28, adani IPO brings anchor investors 
189,2009-07-30, adani protesters to emulate Tilak 
190,2009-07-30,Vidarbha MPs join hands; write to PM on Adani mine issue
191,2009-07-30,Adani protesters to emulate Tilak
192,2009-07-30," Vidarbha MPs join hands, write to PM on adani mine issue "
193,2009-07-31,Adani opposers write letters in blood to Prez
194,2009-07-31, adani opposers write letters in blood to Prez 
195,2009-08-01,Adani Power IPO subscribed over 21 times
196,2009-08-01, Roll over protest to send back adani project 
197,2009-08-01,Roll over protest to send back Adani project
198,2009-08-01, adani Power IPO subscribed over 21 times 
199,2009-08-03,Cong; NCP split over Adani mines
200,2009-08-03," Cong, NCP split over adani mines "
201,2009-08-04,Mungantiwar ultimatum to state on Adani mines
202,2009-08-04, Mungantiwar ultimatum to state on adani mines 
203,2009-08-07, MoEF official to study adani plant's impact on Nagzira 
204,2009-08-07,MoEF official to study Adani plant's impact on Nagzira
205,2009-08-12, 'State govt should turn down adani proposal' 
206,2009-08-12,State govt should turn down Adani proposal
207,2009-08-13,Reports damn Adani coal project
208,2009-08-13, Reports damn adani coal project 
209,2009-08-20,Adani Power shares make disappointing debut
210,2009-08-20,Adani Power listed on BSE
211,2009-08-20,Adani listing to set the pace
212,2009-08-20,Adani Power listed on Bombay Stock Exchange
213,2009-08-20, adani Power listed on BSE 
214,2009-08-20, adani listing to set the pace 
215,2009-08-21, adani Power lists at 5% premium but loses steam 
216,2009-08-21,Adani Power lists at 5% premium but loses steam
217,2009-08-21,Adani debut raises doubts over NHPC listing
218,2009-08-29,At Rs 2.64; Adani offers cheapest power to state
219,2009-08-29," At Rs 2.64, adani offers cheapest power to state "
220,2009-09-04,Oil India fairly priced Adani NHPC weigh
221,2009-09-10,Madanis aide spills beans on Coimbatore blasts
222,2009-10-01,Pleas early; but HC wants status of Adani mines
223,2009-10-01," Pleas early, but HC wants status of adani mines "
224,2009-12-01, Novel adani school inaugurated 
225,2009-12-01,Novel Adani school inaugurated
226,2009-12-01, Novel adani school inaugurated 
227,2009-12-04, Panel ‘no’ to adani mine near Tadoba 
228,2009-12-04,Panel 'no' to Adani mine near Tadoba
229,2009-12-04, `It is victory for people' 
230,2009-12-04, Panel ‘no’ to adani mine near Tadoba 
231,2009-12-06, Centre to allot coal block for stalled adani project 
232,2009-12-06,Centre to allot coal block for stalled Adani project
233,2009-12-17,Soofiya Madani's bail plea rejected in Kerala HC
234,2009-12-17,Madani's wife held for suspected Lashkar links
235,2009-12-17,Madani's wife held for suspected Lashkar links
236,2009-12-18,PDP leader Madani's wife held on terror charges
237,2009-12-19,Soofiya Madani sent to 14-day judicial custody
238,2010-02-02, adani power plant at Tiroda will face no hurdles: Praful 
239,2010-02-02,Adani power plant at Tiroda will face no hurdles: Praful
240,2010-02-10, adani refuses to honour power deal 
241,2010-02-10,Adani refuses to honour power deal
242,2010-02-14,Adani keen to buy new IPL team
243,2010-02-27,Adani Enterprises MD arrested for custom duty evasion
244,2010-02-27, adani Enterprises MD arrested for custom duty evasion 
245,2010-02-27,Adani gets bail from Gujarat High Court
246,2010-02-27, adani gets bail from Gujarat High Court 
247,2010-02-28," adani MD arrested for tax evasion, gets bail "
248,2010-02-28, Gautam adani 
249,2010-02-28,Adani MD arrested for tax evasion; gets bail
250,2010-02-28,Gautam Adanis acumen ensures meteoric rise for Adani Group
251,2010-03-03, HC pulls up CBI for delaying adani release 
252,2010-03-03,HC pulls up CBI for delaying Adani release
253,2010-03-05,Adani Group to bid for IPL's Ahmedabad franchise
254,2010-03-06,Adanis; Birlas and Emmar in fight for Ahmedabad
255,2010-03-17,Adani rights issue at Rs 475/share soon
256,2010-03-17, adani rights issue at Rs 475/share soon 
257,2010-03-23,Is Adani a relieved man?
258,2010-03-23, Is adani a relieved man? 
259,2010-04-20, IPL bids: Mystery of missing papers 
260,2010-04-21," We have IPL bid papers, will share details: adani Group "
261,2010-04-21,We have IPL bid papers; will share details: Adani Group
262,2010-04-21,No sweat equity in our bids; say Adani; Videocon
263,2010-04-22," adani says he has 'missing' file, denies free equity offer "
264,2010-04-22,Adani says he has 'missing' file; denies free equity offer
265,2010-06-01,Ravi Sharma CEO of Adani Power
266,2010-06-01, Ravi Sharma CEO of adani Power 
267,2010-06-02, adani upbeat about finishing pipeline on schedule 
268,2010-06-02,Adani upbeat about finishing pipeline on schedule
269,2010-06-05, Missing papers raise a stink again 
270,2010-06-09,Offence against Adani Power for FCA violation
271,2010-06-14, Need for a unified command in Gujarat 
272,2010-06-17,B'lore blasts: Non-bailable warrant against Madani
273,2010-06-18,Madani's 'terror links' return
274,2010-06-21," NTCA, state officials to visit Tiroda "
275,2010-06-28, Rajpath polls draw movers & shakers 
276,2010-07-09,Madani's anticipatory bail plea rejected
277,2010-07-09,Madani's anticipatory bail plea rejected
278,2010-07-10,Madani's bail plea rejected; faces arrest
279,2010-07-13,Madani moves HC for advance bail
280,2010-07-16,Govt asked to file objections on Madani's bail
281,2010-07-22, adani's QIP of Rs 4k cr fully subscribed 
282,2010-07-22,Adani's QIP of Rs 4k cr fully subscribed
283,2010-07-22,Madani's anticipatory bail plea hearing adjourned to July 29
284,2010-07-23,A week to block Madani's bail
285,2010-08-01, Autorickshaw drivers protest against another CNG price hike 
286,2010-08-01, Pvt cos to provide 40% power in 2012 
287,2010-08-03," adani buys Linc Energy's coal mines for Rs 12,600cr "
288,2010-08-03,Adani buys Linc Energy's coal mines for Rs 12;600cr
289,2010-08-03, adani to buy coal assets in Oz 
290,2010-08-03,Adani to buy coal assets in Oz
291,2010-08-04," adani buys coal mines in Oz for 12,221 crore "
292,2010-08-04,Madani's bail plea rejected
293,2010-08-04,Adani buys coal mines in Oz for 12;221 crore
294,2010-08-10,After Oz; Adanis eye coal mines in South Africa
295,2010-08-10," After Oz, adanis eye coal mines in South Africa "
296,2010-08-11,Kerala tense ahead of Madani's arrest
297,2010-08-12,Cops to wait for some time to arrest Madani
298,2010-08-12,Kerala Police will render all help to arrest Madani: Kodiyeri
299,2010-08-13," Declare Nagzira as tiger reserve, urge conservationists "
300,2010-08-13, High court okays merger of adani group companies 
301,2010-08-13,High court okays merger of Adani group companies
302,2010-08-14,Madani moves HC seeking quashing of chargesheet in blast case
303,2010-08-14,Prohibitory orders clamped around Madani's camp
304,2010-08-15,Notice put up before Madani's camp asking to eject outsiders
305,2010-08-15,Madani says will surrender before court soon
306,2010-08-15,Madani says he will surrender before court
307,2010-08-16,Madani's arrest: Senior Karnataka officials in Kerala
308,2010-08-16,Madani moves SC; seeks stay on his arrest
309,2010-08-17,States spar over turf; Madani gains
310,2010-08-17,Madani arrested in Bangalore blast case
311,2010-08-17,PDP chief Madani arrested in 2008 Bangalore blasts case
312,2010-08-17,PDP chief Madani arrested in Bangalore blast case
313,2010-08-18,After days of drama; Bangalore blast accused Madani held
314,2010-08-18,Rahul Ladani killed after abduction; 3 arrested
315,2010-08-18,Madani arrested as per law: DGP
316,2010-08-18,After days of drama; Madani held
317,2010-08-19,Court reserves verdict on Madani's plea
318,2010-08-20,Madani denies discussing Bangalore blast issue
319,2010-08-21,Madani to be taken to coorg for further investigation
320,2010-08-21, Hearing on interim bail of mining firms adjourned 
321,2010-08-24,Madani admits to role in Bangalore stadium blasts
322,2010-08-24,Madani admits to role in Bangalore stadium blasts
323,2010-08-25,Madani has confessed hand in Bangalore IPL venue blasts: Minister
324,2010-08-25,A for Ahmedabad; Adani
325,2010-08-25," A for Ahmedabad, adani "
326,2010-08-25,Madani's role in Bangalore stadium blasts not proved: Police
327,2010-08-25,Madani's role in Bangalore stadium blasts not proved: Police
328,2010-08-26,Madani reveals he was member of Hyderabad terror outfit
329,2010-08-26, adanis ink mining pact with Indonesia 
330,2010-08-26,Adanis ink mining pact with Indonesia
331,2010-08-26,Acharya blames media for Madani 'misquote'
332,2010-08-26,Cops finish grilling Madani; move him to judicial custody
333,2010-08-27,Ladani murder case: Skeletal remains found; sent for testing
334,2010-09-01, Afforestation on BSF land near border: HC issues notices 
335,2010-09-01,Madani in judicial custody till Sept
336,2010-09-01," HC stays construction on 1,000 ha in MPSEZ "
337,2010-09-04,Fraudster held in Bangalore turns out to be a Madani aide
338,2010-09-04, GGCL increases CNG prices by 8% 
339,2010-09-07,Madani bail petition argument begins
340,2010-09-08,Govt counsel counters Madani's bail plea
341,2010-09-10,HC throws out Madani's petition
342,2010-09-14,No bail for Madani
343,2010-09-21,Adani to invest Rs 14;000 crore
344,2010-09-21," adani to invest Rs 14,000 crore "
345,2010-09-23, Saina is brand ambassador for edible oil product 
346,2010-10-05, adani in $2bn bid for port 
347,2010-10-05, Hyd for sisterly tie-up with Oz 
348,2010-10-05,Adani in $2bn bid for port
349,2010-10-14,Adani may tie up with CIL
350,2010-10-14, adani may tie up with CIL 
351,2010-10-17, Planners at sea while designing city's development story 
352,2010-10-19, Want foreign coal? adani asks Coal India 
353,2010-10-19,Want foreign coal? Adani asks Coal India
354,2010-10-29, Indian money to fuel Aussie version of IPL: Reports 
355,2010-10-29, 'CA is under pressure to accept private investors' 
356,2010-11-01,Badani guides Haryana to 204/4 against HP
357,2010-11-19,Badani help Haryana take first innings lead against Karnataka
358,2010-11-25," Authorities raid oil co godown, defective stock worth Rs 23L found "
359,2010-11-30,Adani fined for encroaching on revenue land
360,2010-11-30, adani fined for encroaching on revenue land 
361,2010-12-01, 3i to launch $3bn India infra fund 
362,2010-12-03, Ruckus in adani plant as labourer falls from boiler 
363,2010-12-03,Ruckus in Adani plant as labourer falls from boiler
364,2010-12-03,Two held for trying to help Madani
365,2010-12-08,Eyewitnesses in Madani case threatened?
366,2010-12-11,Two labourers die in accident at Adani plant
367,2010-12-11, Two labourers die in accident at adani plant 
368,2010-12-13,Madani's wife to be prosecuted
369,2010-12-18,NIA books Madani's wife for burning bus
370,2010-12-20," Coal importers Bhatia, adani get the boot "
371,2010-12-20,Coal importers Bhatia; Adani get the boot
372,2010-12-23,Ajit Pawar's visit to Adani sparks off political storm
373,2010-12-23, Ajit Pawar's visit to adani sparks off political storm 
374,2011-01-04, Political donors don't discriminate: Study 
375,2011-01-12,Adani group announces Rs 80K cr investment in Gujarat
376,2011-01-12,Adani group announces Rs 80K cr investment in Gujarat
377,2011-01-12, adani group announces Rs 80K cr investment in Gujarat 
378,2011-01-29,Madanis stir Darul Uloom's political pot
379,2011-02-11,Adani gets new wings; buys chopper to fly to airport
380,2011-02-11," adani gets new wings, buys chopper to fly to airport "
381,2011-02-18,Vastanvi's hopes rise as Madanis still at odds
382,2011-02-23,Labourer falls from height; dies at Adani power plant site
383,2011-02-23, Colours children's hospital gets ISO certified 
384,2011-02-25,Vastanvi breather may help Arshad Madani too
385,2011-03-04, It's destination Cambay for ex-babu Sanjay Gupta 
386,2011-03-05,AIUDF chief files defamation suit against Madani
387,2011-03-06,Court seeks reply from Arshad Madani
388,2011-03-13,Badani leads Haryana past Mumbai in Mushtaq Ali Trophy
389,2011-04-12, MLAs seek action against power firm 
390,2011-04-13,Govt promises action against encroachment by Adani on forest land
391,2011-04-13, Govt promises action against encroachment by adani on forest land 
392,2011-04-22,How can wheelchair-bound Madani be a threat; asks
393,2011-05-02,Yet another accidental death in Adani plant
394,2011-05-02, Yet another accidental death in adani plant 
395,2011-05-03,Adani acquires Australian port for $2 billion
396,2011-05-03, adani acquires Australian port for $2 billion 
397,2011-05-03,Adani acquires Australian port for $2bn
398,2011-05-04,Adani buys Oz port for 9k cr
399,2011-05-04, adani buys Oz port for 9k cr 
400,2011-05-05,SC Bench split over grant of bail to Madani
401,2011-05-05,SC bench split over grant of bail to Madani
402,2011-05-16,Thadani Anjana
403,2011-05-18,Madani U-turn ; says no problems with Ajmal now
404,2011-05-26,Arjan Shamdas Thadani
405,2011-05-27,Adanis propose to invest Rs 7K crore in Bihar
406,2011-05-27, adanis propose to invest Rs 7K crore in Bihar 
407,2011-05-28,Adani wants to set up thermal power plant in Bihar
408,2011-05-28, adani wants to set up thermal power plant in Bihar 
409,2011-05-30,Smt. Koshi Goverdhan Thadani
410,2011-06-03, Labourer dies mysteriously 
411,2011-06-07,Adani now India's largest pvt thermal power producer
412,2011-06-07, adani now India’s largest pvt thermal power producer 
413,2011-06-08,Spa treatment for Madani costs govt Rs 8lakh
414,2011-06-09,Deer found dead near Adani Thermal Plant
415,2011-06-09, Gondia village to go dry 
416,2011-06-09, Deer found dead near adani Thermal Plant 
417,2011-06-10," MCI gives nod to colleges in Sola, Bhuj "
418,2011-06-11,Adani may consider building port in Mah
419,2011-06-11, adani may consider building port in Mah 
420,2011-06-17, Labourer dies in freak mishap 
421,2011-06-23, Land acquisition for MPSEZ legal: High court 
422,2011-06-27, Canadian co eyes stake in adani Power 
423,2011-06-27,Canadian co eyes stake in Adani Power
424,2011-07-04, Woman mistaken to be man made to pay more tax 
425,2011-07-08, Cost of JNPT's 4th terminal rises 20% 
426,2011-07-09, HC stays transfer of Bhuj hospital to adani 
427,2011-07-09,HC stays transfer of Bhuj hospital to Adani
428,2011-07-11, NTCA to study adani impact on Nagzira wildlife sanctuary 
429,2011-07-11,NTCA to study Adani impact on Nagzira wildlife sanctuary
430,2011-07-14,Adani mining business eyes Oz; UK bourses
431,2011-07-17, Oppn to adani power plant in Chhindwara grows 
432,2011-07-17,Oppn to Adani power plant in Chhindwara grows
433,2011-07-27,Adanis to reserve seats for Kutch in Bhuj medical college
434,2011-07-27, adanis to reserve seats for Kutch in Bhuj medical college 
435,2011-07-27,Adanis to reserve seats for Kutch in Bhuj medical college
436,2011-07-27, adanis to reserve seats for Kutch in Bhuj medical college 
437,2011-07-30,Jindal; Adani cos tank on Karnataka mining scam
438,2011-07-30," Jindal, adani cos tank on Karnataka mining scam "
439,2011-08-01,Outlook of JSW Steel; NMDC & Adani appears unsure
440,2011-08-01, Storm brewing against adani power project in Chhindwara 
441,2011-08-01,Storm brewing against Adani power project in Chhindwara
442,2011-08-02, Sensex rallies as US averts default 
443,2011-08-03, 20 cos bid for Orissa UMPP 
444,2011-08-04,Adani Power net jumps 54% to Rs 177 crore
445,2011-08-04, adani Power net jumps 54% to Rs 177 crore 
446,2011-08-08,Neetu Thadani (Santosh)
447,2011-08-09, GSPC-adani Group JV to set up LNG terminal in Mundra 
448,2011-08-09,GSPC-Adani Group JV to set up LNG terminal in Mundra
449,2011-08-21,Shri Hari Aildas Thadani
450,2011-08-30, GCCI signs MoU with CED to promote young entrepreneurs 
451,2011-09-03," Govt okays Bhavnagar, Dahej as alternate port sites to Dholera, Khambhat "
452,2011-09-09, Price hike puts strain on household budget 
453,2011-09-30,SIT to produce Madani in Kovai court
454,2011-10-13,MSEDCL lets Adani get away with failing to supply 475MW
455,2011-10-13, MSEDCL lets adani get away with failing to supply 475MW 
456,2011-10-27, Desi companies set to feature among world's top 10 coal miners 
457,2011-10-28, Indian firms jolted by China's social security plan 
458,2011-11-09, Did price issue trigger BG exit from Gujarat Gas? 
459,2011-11-11, Tension over adani labourers digging up road between villages 
460,2011-11-11,Tension over Adani labourers digging up road between villages
461,2011-11-12, Pace of infra growth still not fast enough: adani 
462,2011-11-12,MLA Bopche flays Adani management
463,2011-11-12, MLA Bopche flays adani management 
464,2011-11-12,Pace of infra growth still not fast enough: Adani
465,2011-11-13,Worker dies in mishap at Adani power plant
466,2011-11-13,Definitely one of my best knocks: Badani
467,2011-11-13, Worker dies in mishap at adani power plant 
468,2011-11-15,Adani dispute: Villagers to move court over police highhandedness
469,2011-11-15, adani dispute: Villagers to move court over police highhandedness 
470,2011-11-23,Farmers in Adani plant vicinity want police protection
471,2011-11-23, Farmers in adani plant vicinity want police protection 
472,2011-11-26, Gulita bids to be opened in mid-Dec 
473,2011-11-26," Anil Ambani, others bid for HUL property "
474,2011-11-28, Corporates vie with bldrs to grab realty pie 
475,2011-12-02, IIT-Gandhinagar wants young blood to hunt for professors 
476,2011-12-02, IIT-Gandhinagar wants young blood to hunt for professors 
477,2011-12-07,Badani; Paradkar save the day for Vidarbha
478,2011-12-15,Veena Arjandas Thadani
479,2011-12-20, Kalpasar to break ground in 2013 
480,2011-12-23, Branded edible oil prices up due to falling rupee 
481,2011-12-24, Branded edible oil prices rise on falling Re 
482,2011-12-24, Industrial users feel heat of gas price rise 
483,2011-12-29,Karan Johar; Anil Thadani: Friends in deed
484,2012-01-03," adani, KPT to join hands for satellite port in Tuna "
485,2012-01-06,Disturbed Madani throws tantrums in jail
486,2012-01-06, Country’s largest solar power plant goes online 
487,2012-01-08,Adani Group to sport a new-look soon
488,2012-01-08,Adani Group to sport a new-look soon
489,2012-01-08, adani Group to sport a new-look soon 
490,2012-01-09,Adani Group to sport a new-look soon
491,2012-01-10, Illegal barrage made by adani collapses in Dec rains 
492,2012-01-10,Illegal barrage made by Adani collapses in Dec rains
493,2012-01-15,Tata; Ambani; Agarwal; Ruia; Adani among 17 in show of strength on power woes
494,2012-01-15," Tata, Ambani, Agarwal, Ruia, adani among 17 in show of strength on power woes "
495,2012-01-17, GSPC to continue Egypt explorations 
496,2012-01-17,14 associates of Madani shifted to Belgaum jail
497,2012-01-19, HC endorses Justice R A Mehta as lokayukta 
498,2012-01-19, PM seeks 30 days to tackle power crisis 
499,2012-01-20,Adani group's soaring scrips leave bourses gasping
500,2012-01-20, adani group's soaring scrips leave bourses gasping 
501,2012-01-23, Angul villagers to boycott elections 
502,2012-02-08, Labourer killed in adani plant 
503,2012-02-08,Labourer killed in Adani plant
504,2012-02-10,Adanis exit realty; to put Mumbai sites on the block
505,2012-02-10," adanis exit realty, to put Mumbai sites on the block "
506,2012-02-13, Two youths arrested for cheating 
507,2012-02-22, adani seals Rs 900cr land deal in Mumbai 
508,2012-02-22,Adani seals Rs 900cr land deal in Mumbai
509,2012-02-24, adani family to buy group’s realty business 
